url_abs,nombre_listado,dpto_code,first_seen,last_seen
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5004,""ACEDO GONZALEZ, FRANCISCO JOSE"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,""AGUIRRE MONTERO, ALEXANDER"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5725,""ALFARO DE PRADO SAGRERA, ANA M"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4741,""ALONSO RODRIGUEZ, MIGUEL ANGEL"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4944,""ARENAS GAITAN, JORGE"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,""ARTEAGA SANCHEZ, ROCIO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,""BAENA LUNA, PEDRO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,""BARRERA BARRERA, RAMON"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=13366,""BARRERA CAMPOS, LAURA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5679,""BARROSO CASTRO, MARIA DEL CARMEN"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16864,""BRAZO DORADO, PEDRO PAULINO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6214,""CALVO DE MORA SCHMIDT, ARTURO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5631,""CARO GONZALEZ, FRANCISCO JAVIER"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3020,""CASANUEVA ROCHA, CRISTOBAL"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5602,""CASILLAS BUENO, JOSE CARLOS"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3051,""CASTELLANOS VERDUGO, MARIO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=11994,""CASTIGLIONI, MARCO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2766,""CASTRO ABANCENS, IGNACIO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6343,""CAUZO BOTTALA, LOURDES"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6194,""CEPEDA CARRION, GABRIEL ALFONSO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12700,""COBEÑA RUIZ-LOPERA, MARIA DEL MAR"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6182,""CRESPO PEREZ, JUAN MANUEL"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3032,""CRIADO GARCIA-LEGAZ, FERNANDO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16011,""DEL CUBO MOLINA, AIDA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14859,""DIAZ CARRION, ROSALIA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=2784,""DIAZ FERNANDEZ, MARIA DEL CARMEN"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3342,""DOMINGUEZ DE LA CONCHA-CASTAÑEDA, MARTA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5593,""ESPASANDIN BUSTELO, FRANCISCO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=15657,""FELIPE LLANOS, CARMEN"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3519,""FERNANDEZ FERNANDEZ, JUAN CARLOS"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18120,""FERNANDEZ LOPEZ, ANGELA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=6147,""FLOREZ SABORIDO, IGNACIO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4529,""GALAN GONZALEZ, JOSE LUIS"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4209,""GALLEGO AGUEDA, MARIA ANGELES"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4522,""GANAZA VARGAS, JUAN D"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=9162,""GARCIA CANDON, PALOMA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3997,""GARCIA CRUZ, ROSARIO"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=17756,""GARCIA REYES, BEATRIZ ALEJANDRA"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
"http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=14855,""GIL CORDERO, ELOY"",I0G7,2026-01-16T13:40:33+00:00,2026-01-16T13:40:33+00:00"
