url_abs,asignatura,asignatura_url,position,scraped_at
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5004,Dirección Estratégica,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1510036,1,2026-02-13T06:52:37+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5004,Estrategia y Organización de Empresas Internacionales,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=50850004,2,2026-02-13T06:52:37+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5004,Proceso de Internacionalizacion y Marketing Internacional,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=50850006,3,2026-02-13T06:52:37+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,Introducción al Marketing,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1510008,1,2026-02-13T06:52:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,Investigación Comercial,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1510043,2,2026-02-13T06:52:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,Investigación Comercial,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1860061,3,2026-02-13T06:52:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,Introducción al Marketing,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=2610008,4,2026-02-13T06:52:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5725,Administración de Empresas,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1780001,1,2026-02-13T06:52:39+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5725,Administración de Recursos Humanos por Competencias y Ocupaciones,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1780011,2,2026-02-13T06:52:39+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18472,Comunicación Comercial,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1800054,1,2026-02-13T06:52:40+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18472,Marketing,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=2290041,2,2026-02-13T06:52:40+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4741,Fundamentos de Economía de la Empresa,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1610005,1,2026-02-13T06:52:41+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4944,Gestión de Marcas y Nuevos Productos,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1800036,1,2026-02-13T06:52:42+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4944,Introducción al Marketing,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1800008,2,2026-02-13T06:52:42+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4944,Habilidades para la Investigación Aplicada en Marketing,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=52150008,3,2026-02-13T06:52:42+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,Marketing Turístico,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1790007,1,2026-02-13T06:52:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,Comunicación Comercial,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1800054,2,2026-02-13T06:52:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,Marketing Turístico,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=2600007,3,2026-02-13T06:52:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,Marketing Turístico,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=2630008,4,2026-02-13T06:52:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,Tendencias de Consumo,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=52150019,5,2026-02-13T06:52:44+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,Creación de Empresas,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1510034,1,2026-02-13T06:52:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,Fundamentos de Economía de la Empresa,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1610005,2,2026-02-13T06:52:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,Creación de Empresas,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1860054,3,2026-02-13T06:52:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,Innovación y Emprendimiento,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=51490013,4,2026-02-13T06:52:45+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,Marketing Turístico,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1790007,1,2026-02-13T06:52:47+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,Publicidad y Promoción Comercial del Turismo,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1790046,2,2026-02-13T06:52:47+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,Gestión de Franquicias,http://alojawebapps.us.es/centrosdptos/titulaciones/asignatura.php?codasig=1800035,3,2026-02-13T06:52:47+00:00
