url_abs,centro,position,scraped_at
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5004,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:34+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:35+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,FACULTAD DE TURISMO Y FINANZAS,2,2026-01-16T13:40:35+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=18249,FACULTAD DE DERECHO,3,2026-01-16T13:40:35+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=5725,FACULTAD DE CIENCIAS DEL TRABAJO,1,2026-01-16T13:40:36+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4741,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:37+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=4944,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:38+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:40+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=16741,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:40:40+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,1,2026-01-16T13:40:41+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,FACULTAD DE DERECHO,2,2026-01-16T13:40:41+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,FACULTAD DE TURISMO Y FINANZAS,3,2026-01-16T13:40:41+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=12807,ESCUELA INTERNACIONAL DE POSGRADO (EIP),4,2026-01-16T13:40:41+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,FACULTAD DE TURISMO Y FINANZAS,1,2026-01-16T13:40:42+00:00
http://alojawebapps.us.es/centrosdptos/pdi/pdi.php?pdi=3299,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,2,2026-01-16T13:40:42+00:00
